Month,Gold Ounces,Gold Volume,Gold Transfers,Silver Ounces,Silver Volume,Silver Transfers,name,open,high,low,close,BTC Volume,marketCap
2020-04,23.9,40200000000.0,"4,372",281.2,4230000000.0000005,"1,817",BTC,6437.31921486,9440.65067326,6202.37351173,8658.55417975,66964629541.31,158922133909.09
2020-03,29.2,46400000000.0,"6,573",431.5,6440000000.0,"2,461",BTC,8599.7583441,9167.69579623,4106.98075029,6438.64476637,32786468812.08,117814077266.54
2020-02,21.4,34200000000.000004,"4,199",299.9,5370000000.0,"1,442",BTC,9346.35762761,10457.6271997,8492.93215312,8599.50861972,35792392544.01,156895988083.74
2020-01,19.4,30200000000.0,"3,832",272.1,4890000000.0,"1,190",BTC,7194.89197053,9553.12613251,6914.99590793,9350.52936518,29432489719.13,170112778161.32
2019-12,20.9,30900000000.0,"3,392",320.7,5490000000.0,"1,149",BTC,7571.61619421,7743.43172474,6540.04927709,7193.59897843,21167946112.3,130446112598.42
2019-11,19.7,29000000000.0,"3,621",276.8,4760000000.0,"1,053",BTC,9193.99198943,9505.05167619,6617.1670508,7569.63012202,17158194786.41,136829391048.65
2019-10,17.3,25800000000.0,"3,393",244.7,4310000000.0,"1,113",BTC,8299.72110496,10021.743983,7446.98855091,9199.58483269,26583653946.63,165804227834.59
2019-09,19.8,30000000000.0,"4,026",252.9,4600000000.0,"1,682",BTC,9630.59319616,10898.7621803,7830.75876126,8293.86774062,17115474183.47,149011567415.16
2019-08,24.2,36300000000.0,"4,266",212.9,3650000000.0,"1,344",BTC,10077.442592,12273.8213783,9421.63015965,9630.66384768,11454806419.01,172470743516.18
2019-07,20.0,28200000000.0,"3,388",263.9,4150000000.0000005,"1,193",BTC,10796.9306183,13129.5289339,9163.13464449,10085.6277491,16631520647.75,180028959602.82
2019-06,24.2,32900000000.0,"3,997",291.4,4370000000.0,"1,329",BTC,8573.83972489,13796.4890807,7564.48860353,10817.1555981,27256473494.47,192442065810.22
2019-05,18.6,23900000000.0,"2,965",211.8,3100000000.0,978,BTC,5350.91450555,9008.31456846,5347.6461061,8574.50164907,25365190957.39,152059886413.55
2019-04,20.2,25900000000.0,"3,120",237.9,3580000000.0,985,BTC,4105.36242087,5642.04459312,4096.90125463,5350.72669668,13878964573.8,94573826827.48
2019-03,19.9,25900000000.0,"2,967",246.6,3780000000.0,"1,012",BTC,3853.75713203,4296.8066502,3733.74966077,4105.40429618,9045122442.87,72339379035.95
2019-02,18.4,24300000000.0,"2,950",197.2,3120000000.0,802,BTC,3460.54712403,4210.64175454,3391.02375248,3854.78528208,8399767798.46,67704774107.03
2019-01,19.6,25300000000.0,"2,957",288.1,4490000000.0,917,BTC,3746.71338747,4109.02106516,3400.81972619,3457.79274724,5831198270.87,60553903927.49
2018-12,23.5,29400000000.0,"3,318",261.8,3850000000.0,"1,082",BTC,4024.46424203,4309.37731216,3191.30356157,3742.70033544,4661840806.32,65331499157.74
2018-11,18.4,22500000000.0,"2,809",220.2,3160000000.0,985,BTC,6318.14,6552.16,3585.06,4017.26845712,6048016716.85,69904637061.28
2018-10,18.7,22700000000.0,"2,985",211.4,3080000000.0,842,BTC,6619.85,6965.06,6236.47,6317.61,4191240000.0,109627117226.0
2018-09,18.9,22600000000.0,"2,662",218.0,3110000000.0,817,BTC,7044.81,7388.43,6197.52,6625.56,4002280000.0,114608519470.0
2018-08,18.9,22800000000.0,"2,906",180.9,2710000000.0,899,BTC,7769.04,7769.04,5971.05,7037.58,4495650000.0,121346613238.0
2018-07,19.2,23800000000.0,"2,851",210.0,3300000000.0,904,BTC,6411.6801757813,8424.26953125,6136.419921875,7780.44,5287530000.0,133688476220.0
2018-06,20.0,25600000000.0,"2,618",229.1,3790000000.0,"1,004",BTC,7500.7001953125,7754.8901367188,5826.41015625,6404.0,4543860224.0,109665618200.0
2018-05,17.9,23400000000.0,"2,733",231.9,3820000000.0,931,BTC,9251.4697265625,9964.5,7090.6801757813,7494.169921875,5127130112.0,127902999390.0
2018-04,20.5,27400000000.0,"2,986",248.8,4130000000.0,"1,050",BTC,7003.0600585938,9745.3203125,6526.8701171875,9240.5498046875,8673920000.0,157163847314.0
2018-03,18.7,24800000000.0,"2,704",198.8,3270000000.0,834,BTC,10385.0,11704.099609375,6683.9301757813,6973.5297851563,4553269760.0,118204645927.0
2018-02,19.0,25300000000.0,"2,729",233.4,3890000000.0,954,BTC,10237.2998046875,11958.5,6048.259765625,10397.900390625,6936189952.0,175644310997.0
2018-01,22.3,29800000000.0,"3,215",306.4,5260000000.0,"1,096",BTC,14112.2001953125,17712.400390625,9402.2900390625,10221.099609375,8041160192.0,172099559942.0
2017-12,26.8,33799999999.999996,"2,986",326.1,5270000000.0,"1,080",BTC,10198.599609375,20089.0,9694.650390625,14156.400390625,12136299520.0,237465823980.0
2017-11,20.2,25900000000.0,"2,659",241.7,4110000000.0000005,"1,083",BTC,6440.9702148438,11517.400390625,5519.009765625,10233.599609375,8310689792.0,171020085600.0
2017-10,19.8,25300000000.0,"2,476",260.6,4410000000.0,772,BTC,4341.0498046875,6470.4301757813,4164.0498046875,6468.3999023438,2311379968.0,107743731291.0
2017-09,22.1,29000000000.0,"3,285",225.4,3930000000.0,857,BTC,4701.759765625,4975.0400390625,2946.6201171875,4338.7099609375,1207449984.0,72008428789.3
2017-08,18.5,23700000000.0,"2,979",190.3,3220000000.0,957,BTC,2871.3000488281,4736.0498046875,2668.5900878906,4703.3901367188,1944930048.0,77775374624.8
2017-07,20.0,24700000000.0,"2,800",207.1,3340000000.0,939,BTC,2492.6000976563,2916.1398925781,1843.0300292969,2875.3400878906,860574976.0,47388334773.0
2017-06,21.0,26500000000.0,"2,811",203.7,3450000000.0,892,BTC,2288.330078125,2999.9099121094,2212.9599609375,2480.8400878906,860273024.0,40735082695.0
2017-05,20.8,25800000000.0,"2,696",265.7,4450000000.0,"1,029",BTC,1348.3000488281,2763.7099609375,1348.3000488281,2286.4099121094,1544829952.0,37414813240.0
2017-04,21.8,27600000000.0,"3,059",218.3,3940000000.0,"1,132",BTC,1071.7099609375,1347.9100341797,1061.0899658203,1347.8900146484,413115008.0,21975104908.9
2017-03,18.1,22200000000.0,"3,058",203.2,3570000000.0,924,BTC,1180.0400390625,1280.3100585938,903.7130126953,1071.7900390625,447287008.0,17414322807.7
2017-02,18.8,23200000000.0,"2,838",171.6,3070000000.0,"1,007",BTC,970.9409790039,1200.3900146484,946.6909790039,1179.9699707031,184956000.0,19103684800.8
2017-01,20.5,24400000000.0,"3,070",207.5,3490000000.0,966,BTC,963.6580200195,1191.0999755859,755.7559814453,970.4030151367,164582000.0,15659186515.2
2016-12,24.2,27900000000.0,"3,072",218.1,3570000000.0,"1,027",BTC,746.0460205078,979.3969726563,746.0460205078,963.742980957,99135104.0,15492554222.2
2016-11,22.2,27500000000.0,"3,773",157.6,2740000000.0,783,BTC,701.3369750977,756.2369995117,678.1560058594,745.6909790039,84070800.0,11943536630.3
2016-10,18.6,23500000000.0,"2,672",193.6,3430000000.0,708,BTC,609.9290161133,720.4019775391,609.4790039063,700.9719848633,97064400.0,11181852070.1
2016-09,17.0,22600000000.0,"2,777",179.2,3460000000.0,691,BTC,575.5460205078,628.8179931641,570.8109741211,609.7349853516,56122400.0,9693198750.06
2016-08,18.8,25200000000.0,"2,736",179.8,3530000000.0,757,BTC,624.6019897461,626.1190185547,531.333984375,575.4719848633,75840896.0,9117106216.7
2016-07,19.5,26100000000.0,"2,990",178.5,3560000000.0,881,BTC,672.5150146484,704.9680175781,611.833984375,624.6810302734,110818000.0,9861866432.96
2016-06,19.6,25000000000.0,"3,086",165.5,2840000000.0,672,BTC,531.1069946289,777.9899902344,525.6359863281,673.3369750977,138980000.0,10583527799.4
2016-05,18.6,23500000000.0,"3,306",182.2,3080000000.0,690,BTC,448.4840087891,553.9600219727,437.3890075684,531.3859863281,138450000.0,8293035755.05
2016-04,16.5,20500000000.0,"2,798",175.4,2850000000.0,798,BTC,416.7600097656,467.9649963379,415.8309936523,448.3179931641,69322600.0,6944860514.15
2016-03,19.4,24200000000.0,"3,297",135.1,2080000000.0,695,BTC,437.9169921875,439.6530151367,394.0350036621,416.7290039063,60215200.0,6409062819.05
2016-02,21.1,25300000000.0,"3,077",140.9,2120000000.0,674,BTC,369.3500061035,448.0459899902,367.9570007324,437.6969909668,60694700.0,6681444705.0
2016-01,18.7,20500000000.0,"2,643",156.0,2190000000.0,676,BTC,430.7210083008,462.9339904785,354.9140014648,368.766998291,37894300.0,5587253351.23
2015-12,23.6,25200000000.0,"2,702",166.1,2330000000.0,732,BTC,377.4140014648,469.1029968262,349.4649963379,430.566986084,45996600.0,6471217490.68
2015-11,17.3,18700000000.0,"2,706",154.6,2240000000.0,714,BTC,315.0050048828,495.5620117188,300.9970092773,377.3210144043,71701600.0,5623195996.95
2015-10,15.9,18400000000.0,"2,351",136.4,2140000000.0000002,686,BTC,236.0039978027,334.1690063477,235.6159973145,314.1659851074,48598100.0,4645486246.35
2015-09,15.6,17500000000.0,"2,352",163.4,2410000000.0,691,BTC,230.2559967041,259.1820068359,225.1170043945,236.0599975586,19743500.0,3463625759.0
2015-08,17.7,19700000000.0,"2,798",142.2,2120000000.0,712,BTC,284.6860046387,285.7149963379,199.5670013428,230.0559997559,20710700.0,3349845416.0
2015-07,16.6,18800000000.0,"2,602",155.2,2340000000.0,644,BTC,263.3450012207,314.3940124512,253.5050048828,284.6499938965,23629100.0,4112089481.25
2015-06,16.5,19500000000.0,"2,324",134.3,2160000000.0,623,BTC,230.233001709,267.8670043945,221.296005249,263.0719909668,44533800.0,3770229521.6
2015-05,17.3,20700000000.0,"2,646",148.3,2490000000.0,684,BTC,235.9389953613,247.8040008545,228.5729980469,230.1900024414,14730800.0,3273756425.25
2015-04,16.9,20200000000.0,"2,701",112.9,1840000000.0,620,BTC,244.2230072021,261.7980041504,214.8739929199,236.1450042725,33818600.0,3332094504.38
2015-03,18.7,22100000000.0,"3,061",149.7,2430000000.0,697,BTC,254.2830047607,300.0440063477,236.5149993896,244.2239990234,22672000.0,3420112896.0
2015-02,17.8,21800000000.0,"2,965",142.6,2400000000.0,663,BTC,216.8670043945,265.6109924316,212.0149993896,254.2630004883,13949300.0,3531776635.75
2015-01,20.3,25400000000.0,"3,406",145.5,2490000000.0,710,BTC,320.4349975586,320.4349975586,171.5099945068,217.4640045166,23348200.0,2997692310.6
2014-12,19.4,23400000000.0,"3,515",152.8,2480000000.0,795,BTC,378.2489929199,384.0379943848,304.2319946289,320.1929931641,13942900.0,4377510594.68
2014-11,20.7,24300000000.0,"3,494",172.3,2750000000.0,772,BTC,338.6499938965,457.0929870605,320.6260070801,378.0469970703,9194440.0,5125958175.35
2014-10,17.4,21300000000.0,"3,148",135.8,2330000000.0,669,BTC,387.4270019531,411.6979980469,289.2959899902,338.3210144043,12545400.0,4549893052.45
2014-09,16.2,20000000000.0,"4,407",142.2,2630000000.0,775,BTC,477.7869873047,493.9280090332,372.2399902344,386.9440002441,34707300.0,5158621324.8
2014-08,18.0,23300000000.0,"5,198",121.0,2400000000.0,709,BTC,586.2020263672,598.116027832,443.8510131836,477.7630004883,44632300.0,6312801959.75
2014-07,17.9,23500000000.0,"4,184",121.7,2550000000.0,719,BTC,641.3909912109,657.8579711914,564.5109863281,586.2349853516,22467900.0,7670841007.38
2014-06,17.9,22900000000.0,"4,049",163.4,3230000000.0,843,BTC,623.6929931641,674.1110229492,549.8209838867,639.7969970703,46422400.0,8296103744.68
2014-05,19.0,24400000000.0,"4,744",136.9,2650000000.0,898,BTC,447.6329956055,624.7150268555,423.2510070801,623.6770019531,15107100.0,8007248675.68
2014-04,19.6,25400000000.0,"4,728",122.1,2410000000.0,732,BTC,457.0,542.3779907227,351.2720031738,447.6449890137,15244900.0,5690810164.88
2014-03,18.9,25300000000.0,"4,738",134.0,2780000000.0,779,BTC,549.9199829102,702.9099731445,443.3649902344,457.0010070801,28254000.0,5752294437.05
2014-02,17.8,23200000000.0,"4,503",185.7,3870000000.0,907,BTC,828.6099853516,853.5200195313,420.4100036621,549.2600097656,28076100.0,6843353923.5
2014-01,16.8,20900000000.0,"3,770",144.7,2880000000.0,733,BTC,754.9699707031,1017.1199951172,754.9699707031,829.9199829102,17107900.0,10238411820.0
